Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,Power
0.0,299.2,309.9,1516.0,41.4,219.0,0.0,62762.4
0.0,300.7,310.7,1431.0,39.3,22.0,0.0,56238.299999999996
0.0,297.4,308.4,1369.0,50.6,220.0,1.0,69271.40000000001
2.0,302.5,310.9,1356.0,55.5,101.0,1.0,75258.0
1.0,303.3,311.5,1373.0,47.3,60.0,1.0,64942.899999999994
0.0,299.2,308.6,1267.0,68.2,76.0,1.0,86409.40000000001
1.0,300.5,311.9,1875.0,22.1,100.0,0.0,41437.5
0.0,298.2,307.9,1313.0,67.3,67.0,1.0,88364.9
1.0,304.2,313.4,1329.0,54.5,75.0,0.0,72430.5
0.0,298.7,309.8,1354.0,53.3,212.0,1.0,72168.2
0.0,302.7,310.5,1351.0,41.8,10.0,1.0,56471.799999999996
1.0,297.5,308.7,1363.0,53.6,194.0,0.0,73056.8
0.0,300.2,311.6,1322.0,50.9,215.0,0.0,67289.8
0.0,302.2,311.5,1424.0,45.2,39.0,0.0,64364.8
1.0,301.0,310.9,2047.0,17.9,178.0,0.0,36641.299999999996
0.0,302.1,310.8,1565.0,35.3,6.0,0.0,55244.49999999999
0.0,303.4,312.3,1287.0,54.8,54.0,0.0,70527.59999999999
1.0,301.9,310.4,1373.0,48.0,73.0,1.0,65904.0
0.0,298.6,310.0,1517.0,39.0,4.0,0.0,59163.0
0.0,301.7,310.9,1405.0,46.4,207.0,1.0,65192.0
0.0,299.8,311.1,1466.0,46.1,58.0,0.0,67582.6
1.0,302.7,310.5,1398.0,47.3,70.0,0.0,66125.4
1.0,302.2,310.6,1355.0,51.5,126.0,1.0,69782.5
0.0,300.7,310.1,1261.0,56.6,98.0,0.0,71372.6
0.0,298.3,308.0,1578.0,37.8,101.0,0.0,59648.399999999994
0.0,302.7,310.5,1446.0,40.9,211.0,1.0,59141.4
0.0,298.3,308.3,1597.0,32.4,69.0,0.0,51742.799999999996
0.0,299.2,309.0,1515.0,48.9,228.0,1.0,74083.5
1.0,303.4,311.4,1307.0,54.0,44.0,1.0,70578.0
1.0,302.1,310.9,1916.0,23.1,51.0,0.0,44259.600000000006
1.0,297.5,309.2,1804.0,27.4,215.0,0.0,49429.6
0.0,300.0,309.8,1372.0,39.6,105.0,0.0,54331.200000000004
0.0,298.2,308.8,1302.0,60.4,34.0,0.0,78640.8
2.0,296.9,307.8,1549.0,35.8,206.0,1.0,55454.2
0.0,298.8,308.9,1455.0,41.3,208.0,1.0,60091.49999999999
2.0,303.6,312.2,1371.0,54.6,112.0,1.0,74856.6
1.0,302.0,310.4,1212.0,55.6,79.0,1.0,67387.2
0.0,297.5,308.4,1747.0,31.0,45.0,0.0,54157.0
2.0,300.8,311.2,1612.0,32.5,143.0,0.0,52390.0
0.0,299.2,310.4,1570.0,37.3,37.0,0.0,58560.99999999999
0.0,300.4,311.8,1272.0,59.2,198.0,1.0,75302.40000000001
0.0,303.4,312.2,1337.0,69.4,52.0,1.0,92787.8
0.0,301.3,311.1,1303.0,49.2,212.0,0.0,64107.600000000006
0.0,304.0,312.9,1313.0,53.9,202.0,0.0,70770.7
0.0,300.2,311.8,1798.0,23.2,210.0,0.0,41713.6
0.0,299.6,308.9,1613.0,30.8,80.0,0.0,49680.4
0.0,297.4,308.8,1538.0,41.2,126.0,0.0,63365.600000000006
1.0,303.9,313.1,1473.0,42.8,97.0,0.0,63044.399999999994
0.0,302.4,310.4,1666.0,29.7,125.0,0.0,49480.2
0.0,297.3,308.2,1396.0,52.7,212.0,1.0,73569.2
0.0,301.1,310.1,1417.0,46.9,35.0,0.0,66457.3
0.0,300.5,309.8,1428.0,43.8,119.0,0.0,62546.399999999994
1.0,302.2,310.1,1368.0,51.6,12.0,1.0,70588.8
0.0,297.6,308.3,1658.0,34.3,59.0,0.0,56869.399999999994
0.0,298.0,308.0,1524.0,37.0,49.0,0.0,56388.0
1.0,302.1,311.0,1351.0,60.3,207.0,1.0,81465.3
1.0,301.8,310.3,1409.0,52.5,26.0,0.0,73972.5
2.0,298.4,308.5,1398.0,47.1,122.0,0.0,65845.8
1.0,299.1,308.6,1441.0,36.2,169.0,0.0,52164.200000000004
1.0,298.1,308.8,2206.0,16.3,195.0,0.0,35957.8
2.0,295.6,306.3,1509.0,35.8,60.0,0.0,54022.2
1.0,300.6,309.4,1367.0,63.2,45.0,1.0,86394.40000000001
1.0,302.6,311.0,1329.0,48.6,111.0,1.0,64589.4
1.0,300.9,310.8,1695.0,30.2,188.0,0.0,51189.0
0.0,298.3,308.4,1329.0,49.2,166.0,0.0,65386.8
0.0,301.9,310.6,1331.0,68.6,85.0,1.0,91306.59999999999
0.0,303.3,312.1,1418.0,44.7,83.0,0.0,63384.600000000006
0.0,299.3,308.9,1258.0,69.4,119.0,1.0,87305.20000000001
0.0,302.7,310.5,1520.0,39.3,73.0,0.0,59735.99999999999
0.0,302.5,310.4,1349.0,55.1,187.0,1.0,74329.90000000001
0.0,300.5,311.7,1619.0,32.7,85.0,0.0,52941.3
1.0,301.4,310.7,1368.0,63.7,92.0,1.0,87141.6
0.0,300.7,311.0,1413.0,52.0,91.0,1.0,73476.0
1.0,296.7,307.8,1258.0,69.0,105.0,1.0,86802.0
0.0,302.3,310.8,1377.0,47.3,22.0,1.0,65132.1
0.0,304.2,313.4,1490.0,44.0,41.0,0.0,65560.0
1.0,301.3,311.1,1492.0,41.2,223.0,0.0,61470.4
1.0,302.7,312.1,1378.0,46.9,176.0,0.0,64628.2
1.0,301.5,310.4,2639.0,12.0,21.0,1.0,31668.0
1.0,300.9,309.9,1465.0,42.9,209.0,0.0,62848.5
0.0,300.8,309.6,1680.0,28.7,22.0,0.0,48216.0
